"Name","Number","Full name","Calculated value (cm)","Formula (cm)"
"height","A01","Height: Total","154","154"
"neck_back_to_waist_b","H19","Neck Back to Waist Back","50.5","50.5"
"armscye_circ","L19","Armscye: Circumference","43","43"
"bust_circ","G04","Bust circumference","113","113"
"width_shoulder","B01","Width: Shoulder","0","0"
"width_bust","B02","Width: Bust","0","0"
"width_waist","B03","Width: Waist","0","0"
"width_hip","B04","Width: Hip","0","0"
"width_abdomen_to_hip","B05","Width: Abdomen to Hip","0","0"
"head_circ","F01","Head: Circumference","57","57"
"neck_front_to_waist_f","H01","Neck Front to Waist Front","58","58"
"shoulder_length","I01","Shoulder length","10.5","10.5"
"across_chest_f","I03","Across Chest","33","33"
"armfold_to_armfold_f","I04","Armfold to Armfold, front","38","38"
"bustpoint_to_bustpoint","J01","Bustpoint to Bustpoint","24.5","24.5"
"bustpoint_to_neck_side","J02","Bustpoint to Neck Side","32","32"
"bustpoint_to_lowbust","J03","Bustpoint to Lowbust","10","10"
"bustpoint_to_waist","J04","Bustpoint to Waist level","39","39"
"bustpoint_to_bustpoint_half","J05","Bustpoint to Bustpoint, half","12.25","(bustpoint_to_bustpoint/2)"
"arm_shoulder_tip_to_wrist_bent","L01","Arm: Shoulder Tip to Wrist, bent","63","63"
"arm_shoulder_tip_to_elbow_bent","L02","Arm: Shoulder Tip to Elbow, bent","34","34"
"arm_elbow_to_wrist_bent","L03","Arm: Elbow to Wrist, bent","29","(arm_shoulder_tip_to_wrist_bent - arm_shoulder_tip_to_elbow_bent)"
"arm_elbow_circ_bent","L04","Arm: Elbow circumference, bent","26.5","26.5"
"arm_shoulder_tip_to_wrist","L05","Arm: Shoulder Tip to Wrist","61","61"
"arm_shoulder_tip_to_elbow","L06","Arm: Shoulder Tip to Elbow","32","32"
"arm_elbow_to_wrist","L07","Arm: Elbow to Wrist","29","(arm_shoulder_tip_to_wrist - arm_shoulder_tip_to_elbow)"
"arm_armpit_to_wrist","L08","Arm: Armpit to Wrist, inside","46.5","46.5"
"arm_armpit_to_elbow","L09","Arm: Armpit to Elbow, inside","23","23"
"arm_elbow_to_wrist_inside","L10","Arm: Elbow to Wrist, inside","23.5","(arm_armpit_to_wrist - arm_armpit_to_elbow)"
"arm_upper_circ","L11","Arm: Upper Arm circumference","37","37"
"arm_above_elbow_circ","L12","Arm: Above Elbow circumference","33","33"
"arm_elbow_circ","L13","Arm: Elbow circumference","24","24"
"arm_lower_circ","L14","Arm: Lower Arm circumference","24.5","24.5"
"arm_wrist_circ","L15","Arm: Wrist circumference","14.5","14.5"
"neck_back_to_bust_front","P01","Neck Back to Bust Front","0","0"
"neck_back_to_armfold_front_to_waist_side","P03","Neck Back, over Shoulder, to Waist Side","0","0"
"dart_width_shoulder","Q01","Dart Width: Shoulder","0","0"
"dart_width_bust","Q02","Dart Width: Bust","0","0"
"neck_width","I14","Neck Width","19","19"
