"Name","Number","Full name","Calculated value (cm)","Formula (cm)"
"height","A01","Height: Total","154","154"
"neck_back_to_waist_b","H19","Neck Back to Waist Back","0","0"
"height_neck_back","A02","Height: Neck Back","0","0"
"height_scapula","A03","Height: Scapula","0","0"
"height_armpit","A04","Height: Armpit","0","0"
"height_waist_side","A05","Height: Waist Side","0","0"
"height_hip","A06","Height: Hip","0","0"
"height_gluteal_fold","A07","Height: Gluteal Fold","0","0"
"height_knee","A08","Height: Knee","0","0"
"height_calf","A09","Height: Calf","0","0"
"height_ankle_high","A10","Height: Ankle High","0","0"
"height_ankle","A11","Height: Ankle","0","0"
"height_highhip","A12","Height: Highhip","0","0"
"height_waist_front","A13","Height: Waist Front","0","0"
"height_bustpoint","A14","Height: Bustpoint","0","0"
"height_shoulder_tip","A15","Height: Shoulder Tip","0","0"
"height_neck_front","A16","Height: Neck Front","0","0"
"height_neck_side","A17","Height: Neck Side","0","0"
"height_neck_back_to_knee","A18","Height: Neck Back to Knee","0","(height_neck_back - height_knee)"
"height_waist_side_to_knee","A19","Height: Waist Side to Knee","0","(height_waist_side - height_knee)"
"height_waist_side_to_hip","A20","Height: Waist Side to Hip","0","(height_waist_side - height_hip)"
"height_knee_to_ankle","A21","Height: Knee to Ankle","0","(height_knee - height_ankle)"
"height_neck_back_to_waist_side","A22","Height: Neck Back to Waist Side","0","(height_neck_back - height_waist_side)"
"height_waist_back","A23","Height: Waist Back","0","0"
"indent_neck_back","C01","Indent: Neck Back","0","0"
"indent_waist_back","C02","Indent: Waist Back","0","0"
"indent_ankle_high","C03","Indent: Ankle High","0","0"
"hand_palm_length","D01","Hand: Palm length","0","0"
"hand_length","D02","Hand: Length","0","0"
"hand_palm_width","D03","Hand: Palm width","0","0"
"hand_palm_circ","D04","Hand: Palm circumference","0","0"
"hand_circ","D05","Hand: Circumference","0","0"
"foot_width","E01","Foot: Width","0","0"
"foot_length","E02","Foot: Length","0","0"
"foot_circ","E03","Foot: Circumference","0","0"
"foot_instep_circ","E04","Foot: Instep circumference","0","0"
"head_length","F02","Head: Length","0","0"
"head_depth","F03","Head: Depth","0","0"
"head_width","F04","Head: Width","0","0"
"head_crown_to_neck_back","F05","Head: Crown to Neck Back","154","(height - height_neck_back)"
"head_chin_to_neck_back","F06","Head: Chin to Neck Back","154","(height - height_neck_back - head_length)"
"neck_mid_circ","G01","Neck circumference, midsection","0","0"
"neck_circ","G02","Neck circumference","0","0"
"highbust_circ","G03","Highbust circumference","0","0"
"lowbust_circ","G05","Lowbust circumference","0","0"
"rib_circ","G06","Rib circumference","0","0"
"waist_circ","G07","Waist circumference","0","0"
